id,description
36763,"<b>The space</b><br />Habitación con una cama individual, escritorio, aire frio, wifi, toallas y ropa de cama. El piso es pequeño pero está situado en frente de la playa en el barrio de la Barceloneta. Muy bien comunicado con transporte público. Disponible solo para una persona.<br />Vive un perro en la casa, un labrador muy amigable.<br /><br />Room with a single bed, work table, cold air, wifi, towels and bed clothes.<br />The appartment is small but is just in front of the beach in the neighbordhoord called Barceloneta. Very well comunicated with public transport. Available only for one person.<br />A dog is living in the house, a very friendly labrador.<br /><br /><b>Guest access</b><br />You can use the kitchen but not the washing machine. Just ask me in case you need it.<br />Keep the commun areas clean.<br />Be careful with the house and the neighbordhood.<br />If you loose the keys 25euros will be required."
40983,"Our cool and comfortable one bedroom apartment with exposed open concept has a true city feeling! It comfortably fits 4 and is centrally located, just 5 blocks from Pedrera. Enjoy an easy access to all major subway and bus lines!<br /><br /><b>The space</b><br />A Barcelona typical small apartment with typical restored ceiling and surprised us when we were inside, as it was so quiet from street noises! <br />It has a double bedroom, a lounge and dining area both delightfully furnished and comfortable for your relaxation, leading to a fully fitted and equipped kitchen for all cooking requirements. The bathroom has a unique double sink made from a single piece of stone. There is air-conditioning and heating throughout the apartment and Free WiFi internet access. The apartment is also ideal for a business trip stay. <br />This Barcelona Apartments is located in the centre of the city, 10 mins from the main through shopping street, Paseo de Gracia, where you will find 2 of Gaudi's architec"
41952,"Bright new apartment located in the middle of Sagrada Familia, one of the ""must see"" monuments of Gaudi. A full private apartment for just yourself!<br /><br /><b>The space</b><br />Bright new apartment located in the middle of Sagrada Familia, one of the ""must see"" monuments of Gaudi. A full private apartment for just yourself!<br /><br />It's a modern, luxury style apartment very comfortable to assure a great stay when you are in Barcelona.<br /><br />The apartment has two bedrooms (1 suite) and two full bathrooms both with pressurized water streams. It also has a large living room (with one double bed sofa) and a full equipped kitchen.<br /><br />Amenities: Internet Wi-Fi, flat screen TV, DVD, air conditioned, heater, microwave, fridge, freezer, hair dryer, toaster & cooking utensils. <br /><br />Thanks to its perfect location, there is metro & bus to go to any other part of the city or even walking.<br /><br />Minimum: 3 nights. Discounts for longer stays.<br /><br /><b>Guest acces"
46153,"YOU RENT THE ENTIRE APARTMENT, NO SHARING!!<br />Great location!<br />Come and stay in the fascinating, multicultural, chic, bohemian district of Sant Pere, Santa Caterina y la Ribera, THE place to stay in the gothic area of Barcelona full of restaurants,  quaint cafes, bars, boutiques, plazas., Sant Caterina market …. <br />Ideal for a couple, students. <br />Minimum stay 62 NIGHTS<br /><br /><b>The space</b><br />Compact open plan modern kitchen/ Separate laundry, Bathroom with walk-in shower.<br />Air conditioning in the living /kitchen area.<br />Parquet floors, authentic Catalan beamed ceiling, quaint balcony, where you can smoke if you need to.<br />2nd-floor apartment, no lift.<br />Please check out the photos as they show you exactly how the apartment is.<br /><br /><b>Guest access</b><br />Entire apartment for yourself<br /><br /><b>Other things to note</b><br />Apartment in residential building  no noise between 21h-8h<br />2ª floor no lift. <br />62  days of minimum stay <br"
49213,"Private room overlooking the internal balcony , silent and very welcoming , is located in the lower part of our house .<br />Very bright , the room is adjacent to the living that  is at your disposal .<br /><br /><b>The space</b><br />welcome to our beautiful and cosy home!<br /><br />Large bright double room with a  window onto balcony in a creative vintage style household sharing with a couple of artists. <br /><br />If you are interested please send me an e-mail with a little bit of informations about you prior to your booking. <br /><br />The flat is located in Poble sec, near green Montijuc park, not very far from the tube station and walking distance to el Raval, el Gotico and Barceloneta beaches.<br /><br />This neighbourhood is safe and lively with all kind of amenities (food stores, excellent tapas bars and restaurants, and close to cultural outlets such as la Fundación Miro, MNAC and Caixa forum)<br /><br />Rent includes :<br /><br />• High Speed Wireless Internet and televis"
49968,"A very nice two bedroom apartment only 250 m from Barcelona's iconic Sagrada Familia.<br /><br /><b>The space</b><br />Originally a typical Barcelona style three bedroom family apartment but when it was refurbished a wall was removed to combine the lounge and main bedroom into one large lounge dining area.<br /><br />NOTE: If you want to see all my properties and boats please have a look at: https://www.airbnb.com/s?host_id=135703 or click on my profile and choose the link at the bottom left of the screen.<br /><br />CAUTION: The whole apartment is covered by the Roomonitor noise alerting system, which will send an alert to an alarm center if high levels of noise are detected, between 10:00 pm and 8:00 am, which would disturb the neighbours. Each call from the alarm center to the guest about high noise levels will incur a €8.47 fee. If the alarm center have to send a staff member because of high noise there will be a €83.49 fee.<br /><br />CAUTION: This is a NON-SMOKING space, conseque"
58512,"Welcome to my home!<br /><br />My lovely 3 bedroom apartment is located in a traditional Catalan neighborhood close to Hospital Sant Pau (10 min walk) and the iconic Sagrada Familia (20 min walk). Enjoy exploring Barcelona with ease - two nearest metro stations:  Camp de l’Arpa (4 min by walk) and Clot (6 min by walk). Very safe area, quiet at night and family-friendly.<br />Gorgeous wooden floors, open ceilings, a modern and stylish decor and a beautifully integrated American kitchen add to the flat’s charm.<br /><br /><b>The space</b><br />My 3 bedroom apartment is spacious, with beautifully quirky decor and a relaxed feel. It’s the ideal place to come back to after a day of exploring. Great transport links and at a walking distance from Sagrada Familia mean you’ll be right in the hub of the city but able to escape the hustle and bustle! <br /><br />The living area is very cozy with a large, comfy sofa-bed and a flat-screen TV with HBO included, so please sit back and make yourself a"
61444,"Located in the centre of Barcelona (near Plaza Catalunya and Passeig de Gracia), this wonderful 2 bedroom apartment is on the 4th floor of a charming building, on the famous road called Rambla de Catalunya. Ideal for groups of up to 6 people<br /><br /><b>The space</b><br />Located in the centre of Barcelona , this wonderful centrally heated apartment is on the 4th floor of a charming building (with elevator), removing it from the bustle of the street below. Recently redecorated in a typically rustic Catalan style, each of the 2 naturally light twin bedrooms contain ample storage space in the closets, and lead to the delightfully bright air conditioned lounge. This area contains a dining area, and a large comfortable double sofa-bed in which to sit back and relax, or watch TV. Each bedroom and lounge also has a balcony, from which you can step out and watch the world below. The bathroom contains a bath tub and shower, while the kitchen is fully equipped with all the conveniences you’d "
67065,"This apartment has: 7 single beds.<br /><br />Welcoming apartment in the Eixample<br /><br />The Eixample is a great area for strolling around, shopping, gazing at some fine modernista buildings or simply enjoying some great cafés, bars and restaurants.<br /><br /><b>The space</b><br />This apartment has: 7 single beds.<br /><br />Licence number: HUTB-001031<br /><br />The Londres apartment is located in a building with a lift.<br />This 4-bedroom apartment is ideal for families or groups of friends looking for a modern accommodation in a great location. <br /><br />The living/dining room is decorated in gentle neutral tones creating a lovely, welcoming atmosphere. <br />The kitchen is fully equipped for you to enjoy a comfortable stay.<br /><br />The sleeping area comprises 3 twin bedrooms, and a fourt bedroom with a single bed.<br /><br />There are 2 full bathrooms with shower. Towels and bed linen are provided on arrival. <br /><br />Wi-fi Internet connection and plasma TV provided."
68547,"The flat is located right in the historical centre of barcelona in the area of gotico, 2 blocks from the sea and 1 min walk from the lower part of las ramblas. It's the most happening area in Barcelona, with easy and fast access to everything.<br /><br /><b>The space</b><br />The flat has been newly renovated and improved with en suite bathrooms and shower in both rooms. Kitchen is brand new as well. New facilities such as cinema chillout corner with projector, surround sound, and speaker-systems of any kind around the flat for streaming video and sound, also from your own devices. (bluetooth, wifi, analog)<br /><br />This is a listing for the room only. You may rent the whole flat upon request, but it will cost a little more.<br /><br />The flat is located right in the historical centre of barcelona in the area of gotico, 2 blocks from the sea and 1 min walk from the lower part of las ramblas. It's 2 minutes walk to metro L3 taking you to park guell, mont juic, plaza espana, poble esp"
70099,"<b>The space</b><br />In the very core of the old town, next to la RAMBLA, a 1898 house. <br />Rooms in Barcelona Old quarter, two of them: a large one with a double bed and a smaller one with two single beds, connected by a wide door. Both of them have a balcony overlooking Rambla del Raval. You can rent one or both of them.  <br />The apartment is fully equiped with towels, bed linen, kitchenware, etc. <br />Price above is per room/night. Special discount when renting both of them.  <br />You can find many things in a 5 minutes walk radius: The apartment is just 400 m to the old harbor, 450 m to Liceu opera house and Ramblas, 500 m to cable train up to  Joan MIró Foundation, 600 m to Museum of Contemporary Art and CCCB, 650 m to Gaudí's Palau Güell. Nice balcony and view. Live and beautiful area, close to main culture places, museums, restaurants and bars. The olympic mountain and its sports facilities are nearby too.Third floor. Elevator. Three metrro stations at less than 500m from"
70333,"My cozy and well equipped apt with garage is all you need for a perfect stay in Barcelona. It's walking distance to the beach and conveniently located in a quiet neighbourhood with easy access  anywhere in the city!<br /><br /><b>The space</b><br />THE APARTMENT<br /><br />The apartment is on the 6th floor of a modern building, with 4 LIFTS and conceirge overlooking southest, so the house is very sunny.  I made a lot of energy in making it a cozy home so that you can feel at home from the very first moment. <br /><br />There is a double bed in the bedroom and a sofa bed for other 2 people in the living room, in case you have friends or relatives visiting.<br /><br /><b>Guest access</b><br />You'll have access to the entire space and the parking lot located on the basement of the building, as well as the storage room, which is also on the basement. Anything you'll find in the apartment is for your use and enterteinment:) My home has everything you would expect to find in a house you'd b"
71520,"Anita's is a cozy lodging located in the footstep of Mount Tibidabo, from where you will enjoy an incredible view of Barcelona from it's great terrace. Enjoy a good stay in a local neighbourhood, a relaxing and quiet area, only 20 minutes away from the center and near Collserola Park, where you can combine the Barcelona city attractions with nature activities and hikes.<br /><br /><b>The space</b><br />Anita's Bed and Breakfast is a charming and small B&B in Barcelona, with only 3 rooms. We are local owners and we will make you feel like at home, give you all the tips and suggestions you may need and, basically, treat you as a friend. The rooms are comfortable, with ensuite bathroom, tv, queen size bed, desk... and a lovely balcony with espectacular views of the city. The price shown is for the double room with balcony. It includes breakfast, a complete buffet continental breakfast. FREE WIfi.<br />In August, the B&B can be rented as a full apartment.<br /><br /><b>License number</b><b"
71553,"We have special prices on determinated weeks! Ask our staff for promotion dates. <br />PROMO BOOK 1WEEK 1 NIGHT FREE. ASK TO PROMOTION!!<br />Please contact the staff for further information.<br /><br />HUTB-002424<br /><br />Pet fee (except service animals): 15 EUR per night.<br /><br /><b>The space</b><br />Our unique one bedroom penthouse is a real treat for all tourists, whether familiar with Barcelona or new to the city!  <br /><br />Its large shared terrace is perfect for enjoying a meal outside with friends or relaxing on your own.  The penthouse is located in a quiet and safe residential neighborhood in central Barcelona, just a 10-15 minute walk to all main tourist attractions and shopping centers.<br /><br /><br />Watermelon Barcelona Apartments offers you a truly memorable stay in Barcelona! We will satisfy all of your special requests!  Simply ask us!<br /><br />We are happy to share our local knowledge to ensure your perfect family holiday, amazing student vacation, or suc"
71603,"The apartment you are about to book has everything you need for a top quality stay. <br />We have more than 6 years providing people around the world the perfect home away from home, so relax and enjoy, you are on the perfect hands now... <br /><br />HUTB-003878<br /><br /><b>The space</b><br />Old world style meets modern convenience in a newly renovated penthouse for rent in the heart of Barcelona’s city center.<br />Whether searching for a romantic get-away or family holidays, our Ausias Marc apartment guarantees a comfortable and luxury stay.The apartment has been completely renovated and modernized to achieve the quality and high standard necessary to make this a luxury apartment for our visitor to Barcelona.You can see this from the moment you step into the tastefully, styled fireplace, as well as the perfectly preserved facade of the 18th Century Palace where this apartment is located.<br />The apartment is located in a building catalogued as an historical an esthetical emblem o"
71736,"MINIMUM STAY 1 MONTH Ask for offers Fantastic modernistic apartment Located in the heart of Barcelona. AVALAIBLE  FOR FAMILYS,  STUDENTS, WORKERS, CONTACT THE OWNER. Joaquin Costa Ramblas The apartment was renovated and decorated Carefully in an Appropriate mixture of modern and charming old-fashioned style. On the one hand, There are wonderful mosaic floors and the ceilings high wooden balks with STIs. On the other hand, the apartment features modern furniture and equipments<br /><br /><b>The space</b><br />MINIMUM STAY 1 MONTH Ask for offers Fantastic modernistic apartment Located in the heart of Barcelona. AVALAIBLE IN DECEMBER FOR FAMILYS,  STUDENTS, WORKERS, CONTACT THE OWNER. Joaquin Costa Ramblas The apartment was renovated and decorated Carefully in an Appropriate mixture of modern and charming old-fashioned style. On the one hand, There are wonderful mosaic floors and the ceilings high wooden balks with STIs. On the other hand, the apartment features modern furniture and equip"
72436,"This apartment with design furniture features a double bedroom, an open kitchen and seating area, and a bathroom. Free high-speed WiFi is included.<br />HUTB-000173<br /><br /><b>The space</b><br />The contemporary design of Lugaris Beach apartments features floor-to-ceiling windows, free high-speed internet access and a private kitchen with an oven, Nespresso coffee machine and fridge. They also include a living room, with flat-screen TV with international channels, a washing machine and a dryer. You will find a welcome pack with basic products like coffee, tea, milk, sugar, salt and oil. In addition to a bottle of mineral water.<br />Community swimming pool.<br /><br /><b>Guest access</b><br />• LCD flat screen<br />• Free high-speed connection<br />• Nespresso coffee machine<br />• Central air conditioning<br />• Safe<br />• International Channels<br />• Hair dryer.<br />• Non-smoking rooms<br />• Welcome Amenities<br />• Ironing center<br />• Wooden floors<br />• Water boiler<br />"
72793,"<b>The space</b><br />AVALAIBLE IN DECEMBER<br /><br />Designer apartment close to Barcelona historical center. The MacBa Museum Ramblas apartment with 45m2 STI is Situated on the 2nd floor of a building Without elevator. This beautiful apartment, Which Provides enough amount of space for up to 4 persons (2 bedrooms: 1 double bed and 1 double sofa bed), is tastefully decorated with Attention to the detail and plenty of artistic highlights. The Completely new kitchen is Fully equipped and offers enough space to enjoy cooking your meals at home. The large bathroom have a bath-tube, sink, toilet and bidet. Furthermore, This pleasant Barcelona apartment offers air conditioning, central heating, TV with satellite, iron facilities and more. Its balcony invite you to drink a coffee outside in the fresh air. The central location of This economical apartment is just brilliant for your Barcelona accommodation. It is Situated in the north of the Raval district (one of the city 's most cosmopolita"
72794,"<b>The space</b><br />AVALAIBLE IN DECEMBER CONTACT THE OWNER<br /><br />Designer apartment close to Barcelona historical center. The MacBa Museum Ramblas apartment with 45m2 STI is Situated on the 2nd floor of a building Without elevator. This beautiful apartment, Which Provides enough amount of space for up to 3 persons (2 bedrooms: 1 double bed and 1 single bed), is tastefully decorated with Attention to the detail and plenty of artistic highlights. The Completely new kitchen is Fully equipped and offers enough space to enjoy cooking your meals at home. The large bathroom have a bath-tube, sink, toilet and bidet. Furthermore, This pleasant Barcelona apartment offers air conditioning, central heating, TV with satellite, iron facilities and more. Its balcony invite you to drink a coffee outside in the fresh air. The central location of This economical apartment is just brilliant for your Barcelona accommodation. It is Situated in the north of the Raval district (one of the city 's mos"
73455,"Cosy family apartment for rent in the center of Barcelona within walking distance from Plaza Catalunya and Las Ramblas. This apartment has 2 bedrooms, a double and a triple. It is very convenient for families with children.<br /><br />License number - H1TB001779<br /><br /><b>The space</b><br />This cosy 2 bedroom family apartment is located in C/ Tallers, a pederstrian street within walking distance from Plaza Catalunya and Las Ramblas.<br />The apartment is just behind the main shopping street of the center of Barcelona.<br /><br />There 2 bedrooms, one with a comfortable double bed and the other rooms has 3 individual beds. <br /><br />This apartment can comfortably accommodate 5 people. <br /><br />The kitchen is equipped with everything you need for cooking (microwave, toaster, coffee maker, etc.). Moreover, other comforts as Free WIFI Internet connection, aircondition or heating are available to make you feel like at home.<br /><br />The apartment is located in a comercial area w"
73683,"An ideal location for a big group, two apartments in the same building, one directly above the other.<br /><br /><b>The space</b><br />NOTE: If you want to see all my properties and boats please have a look at: https://www.airbnb.com/s?host_id=135703.<br /><br />The apartments are situated on the second and third floors, at the front, in a traditional 1930’s apartment block, which has recently been fully restored to a high standard.<br /><br />NOTE: If you want to see all my properties and boats please have a look at: https://www.airbnb.com/s?host_id=135703 or click on my profile and choose the link at the bottom left of the screen.<br /><br />CAUTION: The whole apartment is covered by the Roomonitor noise alerting system, which will send an alert to an alarm center if high levels of noise are detected, between 10:00 pm and 8:00 am, which would disturb the neighbours. Each call from the alarm center to the guest about high noise levels will incur a €7.00 fee. If the alarm center have t"
73692,"Located in the centre of Barcelona (near Plaza Catalunya and Passeig de Gracia), this wonderful 2 bedroom apartment is on the 4th floor of a charming building, on the famous road called Rambla de Catalunya. Ideal for groups of up to 5 people<br /><br /><b>The space</b><br />Located in the centre of Barcelona , this wonderful centrally heated apartment is on the 4th floor of a charming building (with elevator), removing it from the bustle of the street below. This beautifully decorated 2 bedroom apartment is a hit for groups of up to 5 people, and boasts a bright twin bedroom with large cupboard for storage, and a small interior single bedroom, with smaller storage space. Both bedrooms lead to the air-conditioned lounge, containing the comfortable double sofa bed, and the dining and TV areas. The main bedroom and lounge also have balconies, from which you can view the world below. The bathroom contains a shower cubicle, while the kitchen is fully equipped with all the conveniences you’d"
73693,"For those that like their space, this huge 95m2 ground floor apartment with private patio is located in the Parallel district of central Barcelona (only 2 metro stops away or 25 mins walk from Plaza España and Las Ramblas.<br /><br /><b>The space</b><br />(Important: This apartment is only available for couples or families (parents+children). Groups of friends will not be permitted to enter.<br />The private patio can only be accessed until 10pm as consideration for neighbours)<br /><br />For those that like their space, this huge 95m2 ground floor apartment with private patio is located in the Parallel district of central Barcelona (only 1 metro stop away or 15 mins walk from Las Ramblas). On entering the apartment, you will be welcomed by the main lounge area, containing a large double sofa-bed, from which you can relax or watch TV. Moving on, the central portion contains a dining area, and an adjoining American styled kitchen, which is fully equipped, and contains a gas cooker and o"
73700,"Due to local restrictions, this apartment cannot be rented by groups of friends under 30 years of age.<br /><br />3rd floor apartment without elevator (renovated in December 2017), located in the Poble Sec area of Barcelona (only 1 metro stop away or 15 mins walk from Plaza España).. Suitable for up to 4 people,<br /><br /><b>The space</b><br />This wonderfully cosy 3rd floor apartment, without lift, is located in the Poble Sec area of Barcelona. Suitable for up to 4 people, the apartment has a pleasant ambiance and some great finishing touches. Of the two double bedrooms, the first is an interior room with a cupboard, while the second is bright, and connects directly to the sunny balcony. The bright lounge contains ample storage space, a dining table, and a sofa from which you can relax or watch TV. The bathroom contains a shower, while the kitchen is fully equipped, together with a gas cooker, microwave, kettle, toaster, fridge freezer and washing machine.<br /><br /><b>Other things "
75003,"New apartment just meters from the Basilica of the Sagrada Familia. It has a large double bedroom and one single, both with wardrobes that will make your stay more comfortable.<br /><br /><b>The space</b><br />New apartment just meters from the Basilica of the Sagrada Familia. It has a large double bedroom and one single, both with wardrobes that will make your stay more comfortable. A spacious lounge decorated with designer furniture, a large dining table for five people and a sofa bed very comfortable. The bathroom with designer finishes, features a comfortable shower. The kitchen is fully equipped to feel at home during your lunch and dinner. It has a semi-covered terrace that connects the living room and make your room more pleasant breakfasts to sunlight. Each of the rooms of the apartment has its own air conditioning system to make your nights more enjoyable summer and central radiant heating system for cold winter nights. Wifi free high quality for all our customers.HUTB 001363 "
75411,"Tourist Licence No: HUTB-000083. Colourful apartment with a private patio in a lovely local neighbourhood. It has three double bedrooms, two with double beds, one with two single beds and a single sofa-bed in the living room. Well served by public transport.<br /><br /><b>The space</b><br />"" Colourful apartment with a furnished private patio in a lovely local neighbourhood. It has three double bedrooms, two with double beds and the third with an option of a double bed/two single beds. A separate lounge area with TV, separate dining area, a fully-equipped kitchen and a full bathroom.""<br /><br /><b>Guest access</b><br />Guests have access to entire apartment and private patio. Smoking is prohibited anywhere inside the apartment but you can use the patio if you want to smoke.<br /><br /><b>Other things to note</b><br />The apartment does not have a washing machine but there is a clean coin laundry nearby.<br /><br /><b>License number</b><br />HUTB-000083"
80004,"<b>The space</b><br />This apartment is at the base of the Montjuic hills, 4 minutes away from Parallel metro station, this beautiful 3 bedroom apartment has a spacious dine-in kitchen facing a balcony, perfectly distributed, and it will satisfy completely the avid visitors. Ideally located in the old Barcelonese quarter of Poble Sec that has become a fashionable district, the building is surrounded by tapas bars and cocktail bars, typical cuisine restaurants, trendy nightclubs and the most prestigious theatres like Apollo or El Molino Cabaret inaugurated in 1898. The apartment is located in a quiet street, at a footstep from the pedestrian waking area and it is protected from nightly noises. At a few steps you will see the city highlights like Las Ramblas, the Olympic stadium, the international trade fair, the Fundación Miró, the old harbour, the Guell palace and plaza España and the gothic quarter. The neighbourhood is very well connected thanks to the subway 2 and 3 lines, to the Mo"
83283,"<b>The space</b><br />HELLO PEOPLE :=) <br />are you on vacation? or business? Perhaps a student? or just passing through ..! is just what you need ..! =) I' renting a room per days, weeks or monthly Rent a quiet and comfortable rooms in a beautifully renovated apartment.<br />ROOMS DESCRIPTIONS: ROOM #1 It is a double room with a double bed and closet ideal for relaxing after a long day!<br /><br />In summer could has different price, depend of the season or week events in BCN.<br /><br />The most important thing!!! the flat is my home, I'm opening the doors of my home for you, please take care of it as yours, keep everything clean and respect the place.  <br />Only one rule we have, DRUNK PEOPLE ARE NOT ALLOWED IN MY HOME, PLEASE!! THANKS!! if you are the person who like drink and drink without any control until get sick, this is not your place!! sorry!! ;D<br /><br />EXTRA SERVICES: <br />Kitchen not available for cooking * refrigerator use and microwave are free.<br /><br />FREE SE"
